视频描述,发布时间,完播率,平均播放时长,播放量,推荐,喜欢,评论量,分享量,关注量,转发聊天和朋友圈,设为铃声,设为状态,设为朋友圈封面
库克群岛孔子课堂参加南太大学开放日活动#南太平洋大学孔子学院#库克群岛孔子课堂#南太平洋大学开放日,2023/11/7,3.34%,10.78秒,688,18,39,0,5,1,5,0,0,0
南太孔院苏瓦本部“汉语桥”书画展颁奖仪式圆满举行?#南太平洋大学孔子学院#2023“汉语桥”书画展,2023/10/30,3.33%,14.39秒,871,24,50,0,17,2,17,0,0,0
南太孔院2023“汉语桥”书画展劳托卡中华学校颁奖仪式#南太平洋大学孔子学院#2023“汉语桥”书画展,2023/10/16,9.70%,12.84秒,804,22,58,0,11,1,11,0,0,0
南太孔院2023“汉语桥”书画展优秀作品展示#南太平洋大学孔子学院#2023“汉语桥”书画展,2023/10/13,2.97%,9.23秒,775,19,41,0,5,0,5,0,0,0
棕榈树、海滩、椰子・・・・・・南太孔院的美等你和我们一起来探索！??#学习#英语#vlog#大学#南太平洋#北京邮电大学#孔子学院#斐济#南太平洋孔子学院,2023/12/6,22.55%,8.70秒,816,16,80,0,6,1,6,0,0,0
"南太平洋大学孔子学院库克群岛孔子课堂《欢乐中国年》
#南太平洋大学孔子学院#库克群岛孔子课堂#欢乐中国年#孔院云春晚@孔子学院 
",2024/2/3,2.16%,17.81秒,1341,41,64,0,9,2,9,0,0,0
"南太孔院2023年“汉语桥”全球外国人汉语大会书画展书法推送作品――《坦荡》 作者：南太孔院劳托卡课堂社会班学员 Shivesh（帆时）指导教师：王悦
#2023年“汉语桥”全球外国人汉语大会书画展#南太平洋大学孔子学院",2024/1/10,0.66%,8.24秒,457,6,23,0,4,0,4,0,0,0
南太孔院库克群岛孔子课堂祝大家新年快乐?#南太平洋大学孔子学院#库克群岛孔子课堂,2024/1/5,11.89%,9.14秒,756,16,57,0,10,2,10,0,0,0
[福]南太平洋大学孔子学院在斐济苏瓦、斐济劳托卡、瓦努阿图艾玛卢、库克群岛给您拜年了[福]#南太平洋大学孔子学院@孔子学院 @北京邮电大学 @北邮青年,2024/2/9,7.32%,16.04秒,2116,55,114,0,118,8,118,0,0,0
南太孔院斐济苏瓦、斐济劳托卡、瓦努阿图艾玛芦校区同拼共写一个“年”#南太平洋大学孔子学院#全球孔子学院云春晚@孔子学院 ,2024/2/7,1.66%,11.16秒,1148,18,49,0,12,0,12,0,0,0
"汉语桥-汉语心声：世界大同
跟随斐济女孩珍妮的足迹，我们一同踏入北京邮电大学的校园，开启一段充满发现与成长的交换学习之旅。珍妮，“汉语桥”世界大学生中文比赛的优秀奖得主，向我们展示了她学习中文的独特路径和心灵成长，更以她的热情深入挖掘了中华文化的丰富内涵。
她的vlog是一扇窗，透过它，我们得以听到葫芦丝吹奏出的悠扬旋律，看到中国画笔下流转的墨色神韵，感受到珍妮对北京美食的无限热爱，以及她与泰国朋友之间那份跨越国界的深厚情谊。珍妮的故事，如同一股温柔的力量，触动我们的心灵，架起了一座文化对话的桥梁。
她用她的经历生动诠释了“天下一家”的深远意义，彰显了不同文化间相互理解和尊重的宝贵价值。这是对中文学习无穷魅力的赞颂，对中国传统文化深邃底蕴的致敬，也是对和谐共生世界理念的美好颂扬。在珍妮的带领下，我们感受到了语言的魔力，体验到了文化的多彩，更被激励着去共同缔造一个多元共融、和谐共存的全球村落。@汉语桥 
",2024/5/16,3.00%,21.38秒,699,21,71,0,5,2,5,0,0,0
南太平洋大学孔子学院祝天下的妈妈们母亲节快乐???#南太平洋大学孔子学院 #国际中文教育 #斐济 #库克群岛孔子课堂 #母亲节@孔子学院,2024/5/12,8.85%,8.45秒,610,19,32,0,4,2,4,0,0,0
